Ref Des,Mid X (mm),Mid Y (mm),Rotation,Comment,Package,LCSC Part number
R_BOOT,27.13,108.28,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_CAPACITOR,86.35,50.04,0,15,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_CHANGE,60.86,108.28,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_CL1,73.97,27.87,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_RESET,52.21,108.28,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
SENSOR2,158.39,11.94,90,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N,
SJ1,69.64,12.11,180,-,SJ,
TP1,14.11,76.49,0,TPTP20R,TP20R,
TP10,48.12,15.61,0,TPTP20R,TP20R,
TP11,48.09,12.79,0,TPTP20R,TP20R,
TP12,121.07,11.81,0,TPTP20R,TP20R,
TP13,67.92,36.21,0,TPTP20R,TP20R,
TP14,155.97,58.91,0,TPTP20R,TP20R,
TP15,16.52,34.21,0,TPTP20R,TP20R,
TP16,20.99,34.19,0,TPTP20R,TP20R,
TP17,87.54,18.79,0,TPTP20R,TP20R,
TP2,16.73,76.39,0,TPTP20R,TP20R,
TP3,82.15,88.19,0,TPTP20R,TP20R,
TP4,73.27,91.29,0,TPTP20R,TP20R,
TP5,82.19,91.29,0,TPTP20R,TP20R,
TP6,46.21,24.39,0,TPTP20R,TP20R,
TP7,50.33,24.39,0,TPTP20R,TP20R,
TP8,47.65,51.29,0,TPTP20R,TP20R,
TP9,121.07,14.39,0,TPTP20R,TP20R,
U1,37.5,56.86,0,W25Q512JVEIQ,SON127P600X800X80-9N,
U2,16.1,57.44,90,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8,
U3,83.8,57.15,270,DS3231SN#,SOIC127P1032X265-16N,
U4,137.38,51.62,0,MAX17048G+T10,SON50P200X200X80-9N,
U5,126.41,49.99,90,MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5,
